id,name,current_price,purchase_price,qty_sold,revenue,avg_sold_price,avg_hist_profit_per_unit,reasons
2324,اوتريفين بيبي سالين15ملي,20.00,89.08,1,20.00,20.00,-69.08,price_below_purchase;low_margin;negative_avg_hist_profit
238,اوميجا 3بلس مكمل غذائى,135.00,216.00,13,1215.00,97.50,-56.08,price_below_purchase;low_margin;negative_avg_hist_profit
578,موكسيفلوكس 400 مجم اقراص,180.00,128.80,1,80.00,80.00,-48.80,negative_avg_hist_profit
1290,كريم لونا للتشققات 40 م,40.00,57.50,2,72.00,36.00,-21.50,price_below_purchase;low_margin;negative_avg_hist_profit
414,بنداكس شراب,39.00,56.16,3,117.00,39.00,-17.16,price_below_purchase;low_margin;negative_avg_hist_profit
1886,كيتوفان 25 مجم اقراص,33.00,52.66,1,11.00,11.00,-6.55,price_below_purchase;low_margin;negative_avg_hist_profit
271,روتاسي 60 اقراص,32.00,24.80,2,38.00,19.00,-5.80,negative_avg_hist_profit
1406,بيبون بلس اقراص,150.00,110.00,4,200.00,50.00,-5.00,negative_avg_hist_profit
231,دياميكرون 60ام ار,156.00,122.14,9,324.00,36.00,-4.71,negative_avg_hist_profit
432,اوتريفين بيبي سالين,20.00,23.30,14,280.00,20.00,-3.30,price_below_purchase;low_margin;negative_avg_hist_profit
269,ديبو -بن فيال امبول,25.00,27.75,5,125.00,25.00,-2.75,price_below_purchase;low_margin;negative_avg_hist_profit
278,فيوسي كريم,79.00,59.96,5,290.00,58.00,-1.96,negative_avg_hist_profit
1015,كريم حلاقه خمس خمسات,25.00,23.00,12,270.00,22.50,-0.50,negative_avg_hist_profit
979,مولفيكس 5 عبوة كبيرة,455.00,415.00,70,472.42,6.68,-0.41,negative_avg_hist_profit
846,اندرال 10 جرام اقراص,75.00,55.00,5,54.00,10.80,-0.20,negative_avg_hist_profit
2050,نيل 15 لوشن للاظافر,65.00,49.17,2,98.00,49.00,-0.17,negative_avg_hist_profit
1699,*ترمومتر زئبق,46.00,60.00,0,0.00,,,price_below_purchase;low_margin
2337,افونا فازلين شفايف,20.00,37.50,0,0.00,,,price_below_purchase;low_margin
2334,باور جولد غيار ناموس,45.00,58.00,0,0.00,,,price_below_purchase;low_margin
2080,ببرونه بابيلز كلاسيك 260مل,119.50,150.00,0,0.00,,,price_below_purchase;low_margin
1877,بروجيست 400مجم لبوس مهبلي,255.00,2043.00,0,0.00,,,price_below_purchase;low_margin
1651,بريمونيدين قطره للعين,44.50,62.56,0,0.00,,,price_below_purchase;low_margin
2261,دابافيلداكتين بلس 5/1000مجم اقراص,200.00,279.00,0,0.00,,,price_below_purchase;low_margin
602,ديوريسف 500مجم كبسول,72.00,110.88,0,0.00,,,price_below_purchase;low_margin
2259,زوركال فيال,84.00,82.00,0,0.00,,,low_margin
2092,سيبتازول شراب,36.00,55.00,0,0.00,,,price_below_purchase;low_margin
2315,فينتوكف شراب,25.00,58.70,0,0.00,,,price_below_purchase;low_margin
1718,فيوسيدين30مجم كريمش,96.00,95.40,2,192.00,96.00,0.60,low_margin
1661,بندولين كريم 150 مجم اطفال,95.00,94.00,2,190.00,95.00,1.00,low_margin
210,جليمت فورت 5/800مجم اقراص,66.00,64.86,1,66.00,66.00,1.14,low_margin
1863,فيسيرالجين امبول,90.00,211.40,6,90.00,15.00,3.26,price_below_purchase;low_margin
34,مرطب شفايف لونا,720.00,12.50,6,120.00,20.00,19.65,price_too_high
1947,سيليبريكس 200مجم اقراص,198.00,18.00,1,66.00,66.00,60.00,price_too_high
